Date,Open,High,Low,Close,Year,Full_Date,Price_Range,Returns
Jul-05,13.0,14.0,11.25,12.46,2005,2005-07-05,2.75,
Aug-05,12.58,14.88,12.55,13.42,2005,2005-08-05,2.33,7.704654895666119
Sep-05,13.48,14.87,12.27,13.3,2005,2005-09-05,2.5999999999999996,-0.894187779433675
Oct-05,13.2,14.47,12.4,12.99,2005,2005-10-05,2.0700000000000003,-2.3308270676691722
Nov-05,13.35,13.88,12.88,13.41,2005,2005-11-05,1.0,3.23325635103926
Dec-05,13.49,14.44,13.0,13.71,2005,2005-12-05,1.4399999999999995,2.2371364653243964
Jan-06,13.68,17.16,13.58,15.33,2005,2005-01-06,3.58,11.816192560175054
Feb-06,15.5,16.97,15.4,16.12,2005,2005-02-06,1.5699999999999985,5.153294194390101
Mar-06,16.2,20.95,16.02,20.08,2005,2005-03-06,4.93,24.565756823821317
Apr-06,20.56,20.8,18.02,19.49,2005,2005-04-06,2.780000000000001,-2.9382470119521886
May-06,19.8,21.8,15.8,18.03,2005,2005-05-06,6.0,-7.491021036428924
Jun-06,18.2,18.4,13.4,15.62,2005,2005-06-06,4.999999999999998,-13.366611203549649
Jul-06,16.0,17.2,13.82,16.16,2005,2005-07-06,3.379999999999999,3.457106274007682
Aug-06,15.9,18.6,15.7,17.84,2005,2005-08-06,2.900000000000002,10.396039603960405
Sep-06,18.0,18.88,16.8,18.46,2005,2005-09-06,2.0799999999999983,3.4753363228699596
Oct-06,18.78,24.2,18.5,22.78,2005,2005-10-06,5.699999999999999,23.40195016251354
Nov-06,22.8,28.47,21.4,25.32,2005,2005-11-06,7.07,11.150131694468834
Dec-06,25.4,29.66,24.4,26.97,2005,2005-12-06,5.260000000000002,6.516587677725116
Jan-07,27.4,34.16,27.0,30.16,2005,2005-01-07,7.159999999999997,11.827956989247323
Feb-07,30.2,32.6,26.8,28.63,2005,2005-02-07,5.800000000000001,-5.072944297082227
Mar-07,29.3,31.58,23.31,28.14,2005,2005-03-07,8.27,-1.7114914425427785
Apr-07,27.0,31.99,26.2,30.31,2005,2005-04-07,5.789999999999999,7.7114427860696555
May-07,30.66,36.14,29.11,33.51,2005,2005-05-07,7.030000000000001,10.557571758495543
Jun-07,33.89,36.38,30.4,35.98,2005,2005-06-07,5.980000000000004,7.370934049537459
Jul-07,35.98,41.04,35.02,37.93,2005,2005-07-07,6.019999999999996,5.4196775986659285
Aug-07,37.5,39.0,30.2,36.99,2005,2005-08-07,8.8,-2.4782494068020022
Sep-07,37.4,41.75,35.3,41.36,2005,2005-09-07,6.450000000000003,11.814003784806705
Oct-07,41.8,47.3,33.6,43.48,2005,2005-10-07,13.699999999999996,5.125725338491294
Nov-07,44.4,50.98,40.02,46.18,2005,2005-11-07,10.959999999999994,6.209751609935599
Dec-07,46.4,54.0,45.0,49.81,2005,2005-12-07,9.0,7.860545690775234
Jan-08,49.99,55.56,30.24,50.54,2005,2005-01-08,25.320000000000004,1.4655691628187029
Feb-08,50.88,53.97,44.4,49.42,2005,2005-02-08,9.57,-2.2160664819944498
Mar-08,48.9,48.9,24.11,33.75,2005,2005-03-08,24.79,-31.707810602994748
Apr-08,33.9,35.8,28.51,34.06,2005,2005-04-08,7.289999999999996,0.9185185185185185
May-08,34.3,36.88,30.03,31.13,2005,2005-05-08,6.850000000000001,-8.60246623605403
Jun-08,31.22,32.22,22.62,22.85,2005,2005-06-08,9.599999999999998,-26.598136845486664
Jul-08,22.85,30.5,20.4,25.45,2005,2005-07-08,10.100000000000001,11.378555798687074
Aug-08,25.0,28.98,24.62,26.83,2005,2005-08-08,4.359999999999999,5.422396856581524
Sep-08,26.68,29.8,21.7,24.13,2005,2005-09-08,8.100000000000001,-10.063361908311585
Oct-08,24.6,25.0,11.01,13.58,2005,2005-10-08,13.99,-43.721508495648564
Nov-08,14.79,17.8,11.25,12.26,2005,2005-11-08,6.550000000000001,-9.720176730486008
Dec-08,12.4,16.56,11.13,15.03,2005,2005-12-08,5.429999999999998,22.59380097879282
Jan-09,15.28,18.34,11.48,12.24,2005,2005-01-09,6.859999999999999,-18.562874251496996
Feb-09,12.19,12.5,9.9,10.26,2005,2005-02-09,2.5999999999999996,-16.176470588235293
Mar-09,10.0,11.24,8.16,9.98,2005,2005-03-09,3.08,-2.729044834307981
Apr-09,10.04,17.51,9.94,15.45,2005,2005-04-09,7.570000000000002,54.809619238476934
May-09,15.94,28.84,14.76,25.12,2005,2005-05-09,14.08,62.58899676375407
Jun-09,25.6,31.08,23.0,29.68,2005,2005-06-09,8.079999999999998,18.1528662420382
Jul-09,29.7,33.16,24.83,31.93,2005,2005-07-09,8.329999999999998,7.580862533692723
Aug-09,31.98,35.18,29.0,33.45,2005,2005-08-09,6.18,4.7604134043219615
Sep-09,33.8,41.3,32.0,40.99,2005,2005-09-09,9.299999999999997,22.54110612855007
Oct-09,41.2,52.34,36.8,47.31,2005,2005-10-09,15.540000000000006,15.418394730422058
Nov-09,46.58,54.98,42.84,50.57,2005,2005-11-09,12.139999999999993,6.890720777848225
Dec-09,50.98,55.67,48.6,53.41,2005,2005-12-09,7.07,5.615977852481691
Jan-10,53.6,57.58,46.42,49.84,2005,2005-01-10,11.159999999999997,-6.684141546526856
Feb-10,49.0,51.48,44.6,47.32,2005,2005-02-10,6.8799999999999955,-5.0561797752809
Mar-10,47.8,52.06,47.3,50.97,2005,2005-03-10,4.760000000000005,7.713440405748084
Apr-10,50.67,59.48,48.8,57.1,2005,2005-04-10,10.68,12.026682362173835
May-10,56.94,58.08,50.66,57.57,2005,2005-05-10,7.420000000000002,0.8231173380035095
Jun-10,56.7,59.9,52.6,53.83,2005,2005-06-10,7.299999999999997,-6.496439117595976
Jul-10,53.55,60.94,53.02,58.99,2006,2006-07-10,7.919999999999995,9.585732862715957
Aug-10,59.4,68.88,59.01,62.22,2006,2006-08-10,9.869999999999997,5.475504322766556
Sep-10,62.8,71.74,62.51,70.3,2006,2006-09-10,9.229999999999997,12.98617807778848
Oct-10,70.9,76.0,68.21,71.86,2006,2006-10-10,7.790000000000006,2.219061166429581
Nov-10,72.2,77.6,58.0,61.21,2006,2006-11-10,19.599999999999994,-14.82048427497913
Dec-10,61.8,68.36,55.44,62.54,2006,2006-12-10,12.920000000000002,2.172847573925818
Jan-11,62.98,63.54,49.39,52.59,2006,2006-01-11,14.149999999999999,-15.909817716661333
Feb-11,53.0,57.69,46.71,51.29,2006,2006-02-11,10.979999999999997,-2.4719528427457726
Mar-11,51.84,65.2,50.8,61.98,2006,2006-03-11,14.400000000000006,20.842269448235527
Apr-11,62.0,68.26,60.5,61.02,2006,2006-04-11,7.760000000000005,-1.5488867376572957
May-11,61.26,61.68,54.5,60.07,2006,2006-05-11,7.18,-1.5568666011143928
Jun-11,60.4,63.39,54.8,62.38,2006,2006-06-11,8.590000000000003,3.845513567504577
Jul-11,63.0,68.0,61.36,62.13,2006,2006-07-11,6.640000000000001,-0.40076947739660085
Aug-11,62.9,63.96,50.51,55.61,2006,2006-08-11,13.450000000000003,-10.494125221310158
Sep-11,56.0,60.08,51.2,54.5,2006,2006-09-11,8.879999999999995,-1.9960438770005418
Oct-11,53.8,64.8,48.1,62.9,2006,2006-10-11,16.699999999999996,15.412844036697248
Nov-11,62.2,63.7,52.04,54.49,2006,2006-11-11,11.660000000000004,-13.37042925278219
Dec-11,57.0,59.8,47.4,47.72,2006,2006-12-11,12.399999999999999,-12.424298036336944
Jan-12,47.92,66.5,46.11,65.99,2006,2006-01-12,20.39,38.28583403185246
Feb-12,65.9,74.8,63.6,69.14,2006,2006-02-12,11.199999999999996,4.773450522806488
Mar-12,69.0,77.88,66.2,73.46,2006,2006-03-12,11.679999999999993,6.2481920740526276
Apr-12,73.62,76.1,69.11,70.07,2006,2006-04-12,6.989999999999995,-4.6147563299755
May-12,70.4,70.59,58.85,66.02,2006,2006-05-12,11.740000000000002,-5.779934351362915
Jun-12,65.45,70.6,62.14,67.83,2006,2006-06-12,8.459999999999994,2.741593456528335
Jul-12,68.15,73.19,67.57,72.85,2006,2006-07-12,5.6200000000000045,7.400855078873647
Aug-12,73.0,74.78,65.27,65.97,2006,2006-08-12,9.510000000000005,-9.444063143445437
Sep-12,66.2,77.69,64.46,76.44,2006,2006-09-12,13.230000000000004,15.870850386539326
Oct-12,76.4,84.2,75.6,82.29,2006,2006-10-12,8.600000000000009,7.65306122448981
Nov-12,82.54,89.6,82.22,88.48,2006,2006-11-12,7.3799999999999955,7.522177664357765
Dec-12,89.2,95.0,88.01,92.84,2006,2006-12-12,6.989999999999995,4.927667269439429
Jan-13,93.2,107.0,93.2,104.41,2006,2006-01-13,13.799999999999997,12.462300732442898
Feb-13,104.41,107.8,93.4,94.5,2006,2006-02-13,14.399999999999991,-9.491428024135617
Mar-13,94.0,100.15,83.42,85.71,2006,2006-03-13,16.730000000000004,-9.301587301587311
Apr-13,85.7,101.8,83.43,100.28,2006,2006-04-13,18.36999999999999,16.999183292497968
May-13,100.99,109.43,97.2,97.49,2006,2006-05-13,12.230000000000004,-2.7822098125249384
Jun-13,99.0,102.94,87.15,92.2,2006,2006-06-13,15.789999999999992,-5.426197558723967
Jul-13,92.4,100.4,57.71,64.76,2006,2006-07-13,42.690000000000005,-29.761388286334057
Aug-13,66.0,67.81,43.22,48.65,2006,2006-08-13,24.590000000000003,-24.87646695491045
Sep-13,49.2,78.94,44.8,57.5,2006,2006-09-13,34.14,18.191161356628992
Oct-13,58.0,76.44,56.08,73.76,2006,2006-10-13,20.36,28.27826086956522
Nov-13,74.0,77.27,64.65,73.74,2006,2006-11-13,12.61999999999999,-0.027114967462049666
Dec-13,74.4,83.0,71.63,74.02,2006,2006-12-13,11.370000000000005,0.37971250339028373
Jan-14,74.74,76.35,60.8,61.59,2006,2006-01-14,15.549999999999997,-16.79275871386111
Feb-14,61.54,62.7,58.42,60.95,2006,2006-02-14,4.280000000000001,-1.039129728852084
Mar-14,60.52,83.36,60.34,82.7,2006,2006-03-14,23.019999999999996,35.68498769483184
Apr-14,83.45,94.98,80.8,88.14,2006,2006-04-14,14.180000000000007,6.57799274486095
May-14,88.8,117.6,86.98,113.89,2006,2006-05-14,30.61999999999999,29.214885409575665
Jun-14,114.8,117.57,101.62,108.38,2006,2006-06-14,15.949999999999989,-4.838001580472396
Jul-14,108.43,114.46,100.44,108.21,2006,2006-07-14,14.019999999999996,-0.15685550839638074
Aug-14,107.4,118.69,103.31,114.33,2006,2006-08-14,15.379999999999995,5.6556695314665895
Sep-14,114.6,126.85,107.18,111.7,2006,2006-09-14,19.669999999999987,-2.3003586110382224
Oct-14,112.1,137.8,109.2,136.83,2006,2006-10-14,28.60000000000001,22.497761862130705
Nov-14,137.1,143.91,132.44,142.08,2006,2006-11-14,11.469999999999999,3.8368778776584067
Dec-14,142.08,155.0,134.0,154.57,2006,2006-12-14,21.0,8.790822072072068
Jan-15,154.4,179.0,150.47,172.5,2006,2006-01-15,28.53,11.599922365271409
Feb-15,172.5,173.88,156.1,172.55,2006,2006-02-15,17.78,0.028985507246392928
Mar-15,174.8,182.0,156.8,163.31,2006,2006-03-15,25.19999999999999,-5.354969574036517
Apr-15,162.8,172.8,154.53,167.96,2006,2006-04-15,18.27000000000001,2.8473455391586633
May-15,170.0,176.96,157.8,176.52,2006,2006-05-15,19.159999999999997,5.096451536080027
Jun-15,177.0,179.4,158.9,168.6,2006,2006-06-15,20.5,-4.486743711760721
Jul-15,169.0,175.58,156.45,165.74,2006,2006-07-15,19.130000000000024,-1.696322657176741
Aug-15,165.9,169.19,118.0,137.9,2006,2006-08-15,51.19,-16.797393507903948
Sep-15,135.61,155.5,127.0,145.92,2006,2006-09-15,28.5,5.815808556925295
Oct-15,146.96,155.94,141.73,151.82,2006,2006-10-15,14.210000000000008,4.043311403508776
Nov-15,151.73,157.96,144.03,153.3,2006,2006-11-15,13.930000000000007,0.9748386246871465
Dec-15,153.0,154.52,133.71,145.23,2006,2006-12-15,20.810000000000002,-5.264187866927605
Jan-16,145.0,149.9,126.45,149.38,2006,2006-01-16,23.450000000000003,2.85753632169663
Feb-16,150.4,157.85,132.74,137.67,2006,2006-02-16,25.109999999999985,-7.839068148346506
Mar-16,138.8,175.12,138.35,172.91,2006,2006-03-16,36.77000000000001,25.597443161182554
Apr-16,172.02,190.44,165.33,188.73,2006,2006-04-16,25.109999999999985,9.149268405528876
May-16,189.8,209.0,181.28,206.39,2006,2006-05-16,27.72,9.35728289090234
Jun-16,206.4,223.0,201.14,221.3,2006,2006-06-16,21.860000000000014,7.2241872183729905
Jul-16,221.96,247.18,221.35,243.44,2006,2006-07-16,25.830000000000013,10.004518752824222
Aug-16,244.0,275.0,240.68,272.56,2006,2006-08-16,34.31999999999999,11.961879723956613
Sep-16,273.3,290.0,231.2,250.85,2006,2006-09-16,58.80000000000001,-7.96521866744937
Oct-16,253.41,265.5,245.8,253.52,2006,2006-10-16,19.69999999999999,1.064381104245582
Nov-16,255.0,262.72,219.1,234.28,2006,2006-11-16,43.62000000000003,-7.589144840643735
Dec-16,235.4,245.0,218.25,231.26,2006,2006-12-16,26.75,-1.2890558306300148
Jan-17,231.98,284.31,226.3,279.1,2006,2006-01-17,58.00999999999999,20.68667300873477
Feb-17,280.4,294.19,275.61,290.56,2006,2006-02-17,18.579999999999984,4.106055177355783
Mar-17,290.6,311.57,283.6,309.82,2006,2006-03-17,27.96999999999997,6.628579295154191
Apr-17,309.6,330.58,300.2,326.14,2006,2006-04-17,30.379999999999995,5.2675747208056345
May-17,326.0,330.3,275.15,286.38,2006,2006-05-17,55.150000000000034,-12.19108358373704
Jun-17,286.66,306.34,280.21,292.37,2006,2006-06-17,26.129999999999995,2.0916265102311593
Jul-17,293.04,372.0,290.78,361.96,2006,2006-07-17,81.22000000000003,23.80203167219619
Aug-17,363.0,368.52,337.37,351.15,2006,2006-08-17,31.149999999999977,-2.986517847275938
Sep-17,351.0,383.25,345.5,350.0,2006,2006-09-17,37.75,-0.32749537234799675
Oct-17,354.6,375.75,299.0,314.35,2006,2006-10-17,76.75,-10.185714285714276
Nov-17,315.5,329.8,296.0,306.8,2006,2006-11-17,33.80000000000001,-2.40178145379355
Dec-17,307.2,319.0,300.65,315.05,2006,2006-12-17,18.350000000000023,2.6890482398957083
Jan-18,314.0,366.0,307.35,354.45,2006,2006-01-18,58.64999999999998,12.50595143627995
Feb-18,355.0,366.5,304.65,322.25,2006,2006-02-18,61.85000000000002,-9.084497108195787
Mar-18,320.7,325.8,285.1,304.9,2006,2006-03-18,40.69999999999999,-5.384018619084574
Apr-18,305.0,368.75,303.3,362.05,2006,2006-04-18,65.44999999999999,18.74385044276814
May-18,362.85,364.4,325.7,346.2,2006,2006-05-18,38.69999999999999,-4.377848363485715
Jun-18,348.0,350.1,327.35,339.6,2006,2006-06-18,22.75,-1.9064124783362169
Jul-18,340.0,393.35,332.45,367.9,2006,2006-07-18,60.900000000000034,8.333333333333325
Aug-18,369.95,404.0,338.0,343.4,2006,2006-08-18,66.0,-6.659418320195709
Sep-18,347.2,350.0,166.15,183.45,2006,2006-09-18,183.85,-46.57833430401863
Oct-18,180.0,268.45,168.6,188.05,2006,2006-10-18,99.85,2.507495230307999
Nov-18,192.0,231.4,147.0,169.65,2006,2006-11-18,84.4,-9.784631746875839
Dec-18,174.0,194.3,160.2,181.75,2006,2006-12-18,34.10000000000002,7.132331270262293
Jan-19,182.85,236.3,181.15,194.3,2006,2006-01-19,55.150000000000006,6.905089408528209
Feb-19,197.0,236.9,167.65,231.2,2006,2006-02-19,69.25,18.991250643335043
Mar-19,234.6,281.3,228.8,275.05,2006,2006-03-19,52.5,18.966262975778548
Apr-19,277.0,285.9,165.3,168.0,2006,2006-04-19,120.59999999999997,-38.92019632794038
May-19,163.3,178.05,133.05,147.95,2006,2006-05-19,45.0,-11.934523809523812
Jun-19,147.95,153.8,98.75,108.7,2006,2006-06-19,55.05000000000001,-26.529232848935447
Jul-19,109.6,110.6,81.75,91.3,2006,2006-07-19,28.849999999999994,-16.00735970561178
Aug-19,89.2,92.4,53.15,59.5,2006,2006-08-19,39.25000000000001,-34.8302300109529
Sep-19,59.5,72.55,40.95,41.45,2006,2006-09-19,31.599999999999994,-30.336134453781504
Oct-19,42.0,76.65,29.05,70.45,2006,2006-10-19,47.60000000000001,69.96381182147164
Nov-19,71.0,75.35,59.95,68.3,2006,2006-11-19,15.399999999999991,-3.0518097941802824
Dec-19,70.0,70.5,40.7,46.95,2006,2006-12-19,29.799999999999997,-31.259150805270853
Jan-20,46.9,48.5,36.55,39.2,2006,2006-01-20,11.950000000000003,-16.50692225772098
Feb-20,39.1,40.7,33.6,34.55,2006,2006-02-20,7.100000000000001,-11.862244897959195
Mar-20,35.2,87.95,5.55,22.45,2006,2006-03-20,82.4,-35.02170767004341
Apr-20,22.3,30.45,20.3,27.95,2006,2006-04-20,10.149999999999999,24.498886414253906
May-20,27.8,31.6,25.2,26.85,2006,2006-05-20,6.400000000000002,-3.935599284436486
Jun-20,27.75,31.95,25.55,25.6,2006,2006-06-20,6.399999999999999,-4.655493482309126
Jul-20,25.6,28.3,11.1,11.95,2006,2006-07-20,17.200000000000003,-53.3203125
Aug-20,12.0,17.16,11.85,14.37,2006,2006-08-20,5.3100000000000005,20.251046025104614
Sep-20,14.3,15.34,12.75,13.15,2006,2006-09-20,2.59,-8.489909533750861
Oct-20,13.3,14.01,12.11,12.42,2006,2006-10-20,1.9000000000000004,-5.551330798479093
Nov-20,12.41,14.9,12.21,14.67,2006,2006-11-20,2.6899999999999995,18.1159420289855
